code,title,grade,credits,isRepeat,endDate
HIST 120,"American Experienc",TR,3,,12/15/21
BIO 151,"Human Anatomy & Ph",TR,3,,05/15/22
HIST 121,"American Exp in th",TR,3,,05/15/22
ENGL 100,"College Compositio",TR,3,,12/15/22
ENGL 200,"Literary Studies",TR,3,,05/15/23
ME 102,"Computer Aided Des",TR,1,,05/15/20
CORE 110,"The Human Experien",A,4,,12/15/23
PHYS 141L,"Experimental Physi",B,1,,12/15/23
MATH 131,"Calculus I",C,4,,12/15/23
GE 100L,"Fndmentals of Engi",,0,,12/15/23
PHYS 141,"Newtonian Mechanic",C+,3,,12/15/23
GE 100,"Fundamentals of En",A,2,,12/15/23
CORE 115,"The Human Experien",B,4,,05/10/24
GE 109,"Mechanics-Statics",F,3,R,05/10/24
KIN 101,"Wellness and Stres",W,1,,05/10/24
MATH 132,"Calculus II",F,4,R,05/10/24
ME 102,"Computer Aided Des",W,1,,05/10/24
ME 125,"Computer Prog/Mech",C+,1,,05/10/24
PHYS 142,"Electcty, Mangntsm",D-,3,,05/10/24
PHYS 142L,"Experimental Physi",W,1,,05/10/24
MATH 132,"Calculus II",A-,4,,06/21/24
GE 109,"Mechanics-Statics",C-,3,,06/21/24
MATH 253,"Calculus III",B+,4,,08/02/24
CHEM 121,"General Chemistry",C,4,,12/13/24
CHEM 121L,"General Chemistry",,0,,12/13/24
ECE 281,"Fundamentals of El",F,2.5,R,12/13/24
MATH 260,"Linear Systems and",C,1,,12/13/24
MATH 270,"Ordinary Different",A-,3,,12/13/24
ME 201,"WIC:Tech Writ-Mech",A,1,,12/13/24
ME 209,"Mechanics-Dynamics",B,3,,12/13/24
BE 200,"Bioengineering Sem",B+,1,,05/09/25
BIO 152,"Human Anatomy & Ph",C-,4,,05/09/25
BIO 152L,"Human Anat & Phys",,0,,05/09/25
CHEM 122,"General Chemistry",C+,4,,05/09/25
CHEM 122L,"General Chemistry",,0,,05/09/25
GE 190,"Intro to Research",A,1,,05/09/25
ME 252,"Materials Science",W,2.5,,05/09/25
STAT 240,"Statistical Analys",C,3,,05/09/25
CHEM 290,"Perspectives on Ch S",,1,,08/01/25
BE 317,"Sustainable Engine",A,2,,12/12/25
CHEM 221,"Organic Chemistry",D+,4,,12/12/25
CHEM 221L,"Organic Chemistry",,0,,12/12/25
ECE 281,"Fundamentals of El",B,2.5,,12/12/25
GE 311,"Financial Decision",C,1.5,,12/12/25
REL 100,"Religion and Socie",A,3,,12/12/25
ME 355,"System Modeling an",B-,3,,12/12/25
XS 101,"Wellness and Stres",A,1,,12/12/25
IPE 390,"Healthcare in Irel",,0,,05/15/26
ME 252,"Materials Science",,0,,05/15/26
ME 270,"Thermodynamics I",,0,,05/15/26
BE 340,"Bioelectricity",,0,,05/15/26
ME 261,"Analog Circuits La",,0,,05/15/26
GE 312,"Ethical Decisions",,0,,05/15/26
MUS 204,"Popular Music in A",,0,,05/15/26
