Format,Days,Start,End
3x50,MWF,8:00,8:50
3x50,MWF,9:00,9:50
3x50,MWF,10:00,10:50
3x50,MWF,11:30,12:20
3x50,MWF,12:30,1:20
3x50,MWF,1:30,2:20
3x50,MWF,2:30,3:20
3x50,MWF,3:30,4:20
2x75,TR,8:00,9:15
2x75,TR,9:30,10:45
2x75,TR,11:30,12:45
2x75,TR,1:00,2:15
2x75,TR,2:30,3:45
1x150,T,8:20,10:50
1x150,T,11:30,2:00
1x150,T,2:30,5:00
1x150,R,8:20,10:50
1x150,R,11:30,2:00
1x150,R,2:30,5:00
1x75,T,8:00,9:15
1x75,T,9:30,10:45
1x75,T,11:30,12:45
1x75,T,1:00,2:15
1x75,T,2:30,3:45
1x75,R,8:00,9:15
1x75,R,9:30,10:45
1x75,R,11:30,12:45
1x75,R,1:00,2:15
1x75,R,2:30,3:45
1x50,MTWRF,8:00,8:50
1x50,MTWRF,9:00,9:50
1x50,MTWRF,10:00,10:50
1x50,MTWRF,11:30,12:20
1x50,MTWRF,12:30,1:20
2x50,MW,8:00,8:50
2x50,MW,9:00,9:50
2x50,MW,10:00,10:50
2x50,MW,11:30,12:20
2x50,MW,12:30,1:20
2x50,MW,1:30,2:20
2x50,MW,2:30,3:20
4x50,MTWF,8:00,8:50
4x50,MTWF,9:00,9:50
4x50,MTWF,10:00,10:50
4x50,MTWF,11:30,12:20
4x50,MTWF,12:30,1:20
4x50,MTWF,1:30,2:20
2x75,MW,2:30,3:45
1x50,M,8:00,8:50
1x50,M,9:00,9:50
1x50,M,10:00,10:50
1x50,M,11:30,12:20
1x50,M,12:30,1:20
1x50,M,1:30,2:20
1x50,M,2:30,3:20
1x50,W,8:00,8:50
1x50,W,9:00,9:50
1x50,W,10:00,10:50
1x50,W,11:30,12:20
1x50,W,12:30,1:20
1x50,W,1:30,2:20
1x50,W,2:30,3:20
1x50,T,8:00,8:50
1x50,T,9:00,9:50
1x50,T,10:00,10:50
1x50,T,11:30,12:20
1x50,T,12:30,1:20
1x50,R,8:00,8:50
1x50,R,9:00,9:50
1x50,R,10:00,10:50
1x50,R,11:30,12:20
1x50,R,12:30,1:20
1x50,F,8:00,8:50
1x50,F,9:00,9:50
1x50,F,10:00,10:50
1x50,F,11:30,12:20
1x50,F,12:30,1:20
